year,activity_share,activity_days_equiv,pen_base,pen_current,pen_policy,dT_night_base,dT_night_current,dT_night_policy,dT_night_incremental,dT_dm_base,dT_dm_current,dT_dm_policy,dT_dm_incremental,marginal_perC,marginal_current_full_perC,marginal_policy_full_perC,marginal_current_active_perC,marginal_policy_active_perC,penalty_base,penalty_current,penalty_policy,penalty_incremental
2030,0.30399297432656663,110.95743562919682,0.7056232297952072,0.7056232297952072,0.7876994102533259,0.849337509025859,0.849337509025859,0.9726055820333289,0.12326807300746989,0.4246687545129295,0.4246687545129295,0.48630279101666446,0.061634036503734946,129.67841207150508,426.58358259358033,407.92829915266816,129.67841207150508,124.00733697139705,55.0703697416205,55.0703697416205,60.30511407573439,5.234744334113884
2031,0.303935029668321,110.96662718171157,0.708974743825207,0.708974743825207,0.7896456454794732,0.8543555048683651,0.8543555048683651,0.9755382229875138,0.12118271811914871,0.42717775243418254,0.42717775243418254,0.4877691114937569,0.06059135905957436,129.94697981807022,427.5485453581283,409.13207628046405,129.94697981807022,124.3495697425646,55.51045877429331,55.51045877429331,60.65387914796169,5.143420373668377
2032,0.3038770850100754,110.97581873422632,0.7123420391837031,0.7123420391837031,0.7916010449750104,0.8593984628833041,0.8593984628833041,0.9784851227130672,0.11908665982976308,0.42969923144165206,0.42969923144165206,0.4892425613565336,0.05954332991488154,130.21543573576014,428.51350812267634,410.33585340825994,130.21543573576014,124.69166300882364,55.953472657495965,55.953472657495965,61.00446859024261,5.050995932746645
2033,0.3038191403518297,110.98501028674109,0.715725227598439,0.715725227598439,0.7935656736206057,0.8644665692620601,0.8644665692620601,0.9814463853503849,0.11697981608832475,0.43223328463103006,0.43223328463103006,0.49072319267519243,0.058489908044162375,130.4837798245748,429.4784708872243,411.5396305360558,130.4837798245748,125.03361677017409,56.3994327446481,56.3994327446481,61.35689561318631,4.957462868538208
2034,0.30376119569358406,110.99420183925584,0.7191244218543248,0.7191244218543248,0.7955395969108278,0.8695600120475322,0.8695600120475322,0.9844221160555108,0.11486210400797858,0.4347800060237661,0.4347800060237661,0.4922110580277554,0.05743105200398929,130.7520120845143,430.44343365177235,412.7434076638517,130.7520120845143,125.375431026616,56.848360601724664,56.848360601724664,61.71117355629653,4.862812954571865
2035,0.30370325103533846,111.00339339177059,0.72253973580597,0.72253973580597,0.7975228809614228,0.8746789811571538,0.8746789811571538,0.987412421012538,0.1127334398553842,0.4373394905785769,0.4373394905785769,0.493706210506269,0.0563667199276921,131.02013251557855,431.40839641632033,413.9471847916476,131.02013251557855,125.71710577814939,57.300278009900765,57.300278009900765,62.06731588954591,4.7670378796451445
2036,0.3036453063770928,111.01258494428534,0.725971284390395,0.725971284390395,0.799515592516697,0.879823668406251,0.879823668406251,0.9904174074461929,0.11059373903994185,0.4399118342031255,0.4399118342031255,0.49520870372309644,0.055296869519970926,131.28814111776754,432.3733591808683,415.1509619194435,131.28814111776754,126.0586410247742,57.755206968235896,57.755206968235896,62.425336214973576,4.67012924673768
2037,0.30358736171884715,111.02177649680009,0.729419183639927,0.729419183639927,0.8015177989570043,0.884994267531757,0.884994267531757,0.9934371836346009,0.10844291610284384,0.4424971337658785,0.4424971337658785,0.49671859181730044,0.05422145805142192,131.55603789108136,433.33832194541634,416.3547390472394,131.55603789108136,126.40003676649047,58.21316969639881,58.21316969639881,62.78524826830615,4.5720785719073405
2038,0.3035294170606015,111.03096804931485,0.732883550695276,0.732883550695276,0.8035295683063407,0.8901909742162747,0.8901909742162747,0.9964718589222458,0.10628088470597108,0.44509548710813734,0.44509548710813734,0.4982359294611229,0.05314044235298554,131.8238228355199,434.3032847099643,417.55851617503527,131.8238228355199,126.7412930032982,58.67418863743253,58.67418863743253,63.147065920602785,4.472877283170256
2039,0.3034714724023559,111.0401596018296,0.7363645038188024,0.7363645038188024,0.805550969240048,0.8954139861125064,0.8954139861125064,0.9995215437331134,0.10410755762060697,0.4477069930562532,0.4477069930562532,0.4997607718665567,0.052053778810303486,132.0914959510833,435.26824747451235,418.76229330283115,132.0914959510833,127.08240973519739,59.138286460561744,59.138286460561744,63.51080317992427,4.3725167193625225
2040,0.30341352774411023,111.04935115434435,0.7398621624079736,0.7398621624079736,0.8075820710926284,0.900663502868049,0.900663502868049,1.0025863495840375,0.1019228467159885,0.4503317514340245,0.4503317514340245,0.5012931747920187,0.05096142335799425,132.3590572377714,436.2332102390603,419.96607043062704,132.3590572377714,127.423386962188,59.60548606404189,59.60548606404189,63.87647419302715,4.270988128985259
2041,0.3045342618827176,111.42807776216164,0.7398596166394452,0.7398596166394452,0.8075807876402256,0.9006596814861102,0.9006596814861102,1.0025844127809216,0.10192473129481139,0.4503298407430551,0.4503298407430551,0.5012922063904608,0.050962365647405694,134.37116150458002,441.2349555477246,424.7667096451948,134.37116150458002,129.35601639415,60.51134376081686,60.51134376081686,64.84516286810407,4.333819107287212
2042,0.305654996021325,111.80680436997892,0.7398570608859453,0.7398570608859453,0.8075794991538869,0.9006558451167787,0.9006558451167787,1.0025824683815039,0.10192662326472524,0.4503279225583893,0.4503279225583893,0.5012912341907519,0.05096331163236262,136.39447702482875,446.2367008563889,429.56734885976255,136.39447702482875,131.29940630662185,61.42224148702909,61.42224148702909,65.81924143595947,4.396999948930379
2043,0.30677573015993237,112.1855309777962,0.7398544950886142,0.7398544950886142,0.8075782056039382,0.9006519936717109,0.9006519936717109,1.0025805163410064,0.10192852266929553,0.45032599683585545,0.45032599683585545,0.5012902581705032,0.050964261334647765,138.4290037985175,451.2384461650531,434.3679880743303,138.4290037985175,133.25355669960348,62.33817912656181,62.33817912656181,66.79870984008201,4.4605307135202
2044,0.3078964642985398,112.56425758561349,0.7398519191881288,0.7398519191881288,0.8075769069604716,0.9006481270618675,0.9006481270618675,1.002578556614299,0.10193042955243159,0.45032406353093374,0.45032406353093374,0.5012892783071495,0.050965214776215795,140.4747418256464,456.2401914737174,439.16862728889805,140.4747418256464,135.21846757309493,63.2591565623839,63.2591565623839,67.78356802351546,4.524411461131557
