cap_id,pop_cap,users_cap,ac_share_cap,kwh_cap,kwh_per_user_cap,kwh_pc_overall,kwh_GWh
59,66384.34228579194,46158.298245255166,0.6953190565109252,32469720.76697452,703.44275,489.1171569824219,32.46972076697452
60,28973.535473469645,25869.405731204846,0.8928632736206055,18328236.952940185,708.49084,632.58544921875,18.328236952940184
61,36130.64617942367,34832.26611969143,0.9640643000602722,24830330.102204476,712.8543,687.2373657226562,24.830330102204474
62,44442.921702098916,37752.1560484992,0.8494526147842407,35706635.20341279,945.81714,803.4268188476561,35.706635203412795
63,72118.23777604848,70675.87439607373,0.9800000190734863,42757729.671426035,604.9834,592.8837280273438,42.757729671426034
64,14603.407050609589,11942.675647646827,0.8178006410598755,7021379.432833791,587.92346,480.80419921875,7.021379432833791
65,29384.453380942345,16845.821754657052,0.5732902884483337,9082711.404096605,539.167,309.0992126464844,9.082711404096605
66,15728.025020487607,14867.379297486912,0.9452794790267944,10964921.661988182,737.51544,697.1582031250001,10.964921661988182
67,71563.74090621813,33071.18712688507,0.4621221125125885,26942901.077794164,814.6941,376.4881591796875,26.942901077794165
68,33073.1598443985,24298.612806680223,0.7346928119659424,15615327.700693682,642.64276,472.14501953125,15.615327700693681
69,25336.3044321537,24626.925734576787,0.9720014929771423,13464337.541549722,546.73236,531.4246826171875,13.464337541549721
70,26312.38376045227,24725.703301897825,0.9396983385086061,13660736.335578078,552.49133,519.1751708984375,13.660736335578079
71,32566.940672397614,31915.602480114758,0.9800000190734863,23726586.585208554,743.41656,728.5482177734375,23.726586585208555
72,27792.772741794586,20036.84686374996,0.7209373116493226,15376200.54547366,767.39624,553.2445678710938,15.37620054547366
73,70586.86199496947,41452.44564320234,0.5872544050216674,30659050.659370616,739.6198,434.3450012207031,30.659050659370617
74,38808.75464874535,21366.092167804407,0.550548255443573,12094667.613665918,566.0683,311.6479187011719,12.094667613665917
75,19491.343437194824,12133.785383854407,0.6225217580795288,8379045.881101185,690.555,429.885498046875,8.379045881101186
76,18889.032276153564,10005.120356512105,0.5296788215637207,6725967.160824616,672.2525,356.0779113769531,6.7259671608246165
77,32315.93728375435,19446.47983243302,0.6017612814903259,13413760.9446718,689.7784,415.0819091796875,13.4137609446718
78,21326.93396949768,20900.39569688671,0.9800000190734863,16166486.32064403,773.50146,758.0314331054688,16.16648632064403
79,19608.257900238037,19172.140188948408,0.9777584671974181,13229118.580761634,690.0178,674.6707763671875,13.229118580761634
80,23511.163183800876,16038.503069818144,0.6821654438972473,11958435.68972913,745.608,508.6279907226563,11.95843568972913
81,16390.552707273746,11922.92872482567,0.7274268865585327,7928272.609379473,664.96014,483.70989990234375,7.928272609379473
82,45732.22046491504,43600.24924917674,0.9533814191818237,30250071.840132944,693.805,661.4608154296875,30.250071840132943
83,124691.94711527707,61583.658265061575,0.49388641119003296,45451592.24075652,738.0463,364.51104736328125,45.45159224075652
84,24148.800771926584,17111.67432742316,0.7085931301116943,8099775.886012356,473.34796,335.4111022949219,8.099775886012356
85,48415.66202664003,27234.710259066054,0.5625185966491699,16830878.669485316,617.99365,347.6329345703125,16.830878669485315
86,34904.34283016063,15580.027015045373,0.44636356830596924,9197670.349938583,590.3501,263.5107727050781,9.197670349938583
87,21520.38883805275,9459.47958681448,0.4395589530467987,5347807.431754041,565.33844,248.49957275390625,5.347807431754042
88,35387.85386483371,15003.797039207882,0.42398154735565186,9263537.514752671,617.4129,261.77166748046875,9.263537514752672
89,56399.959190968424,35724.50863872331,0.6334137320518494,31150729.48679231,871.9708,552.3182983398438,31.15072948679231
90,16071.50974097848,11483.035436728102,0.714496374130249,6124404.66715471,533.3437,381.0721435546875,6.124404667154709
91,23143.80084501207,12546.668566213742,0.5421178936958313,9995202.150815072,796.6419,431.87384033203125,9.995202150815071
92,27360.782808303833,14056.098698008742,0.5137315988540649,5571445.859906299,396.37213,203.6288909912109,5.571445859906299
93,27361.907522439957,12982.92912467968,0.4744891822338104,7926197.170695811,610.50916,289.67999267578125,7.9261971706958105
94,49740.821997775965,39232.2398906604,0.7887332439422607,26640141.720610246,679.037,535.5790405273438,26.640141720610245
95,20080.18286535726,17791.978719589133,0.8860466480255126,13119655.390606945,737.3916,653.3633422851562,13.119655390606946
