year,scenario,ramp_factor,ac_penalty,deaths_on_warning_days,gross_avoided_deaths,net_avoided_deaths,life_years_saved,warning_days,cost_total,cost_pv,gross_<15,gross_15-64,gross_65+,net_<15,net_15-64,net_65+,lys_<15,lys_15-64,lys_65+
2030,low,1.0,0.7990541219711303,587.7235683798667,35.38760600782941,31.914312282556022,399.1420656415314,45.0,1476909.7686,1098959.5716667902,0.0,1.3093375101910265,34.07826849763838,0.0,1.2438706346814752,30.670441647874547,0.0,31.09676586703688,368.04529977449454
2031,low,1.0,0.7979494202136993,601.1930132363959,36.25799901401961,32.695791021433486,408.05669373471255,45.8,1499643.551742,1083374.4090925574,0.0,1.271838176316663,34.98616083770295,0.0,1.2082462675008299,31.487544753932653,0.0,30.206156687520746,377.85053704719184
2032,low,1.0,0.7968447184562684,614.6624580929251,37.12584656846304,33.47498379463811,416.94511064193733,46.6,1522254.2819400001,1067678.5258903173,0.0,1.2344376604275262,35.891408908035515,0.0,1.1727157774061499,32.30226801723197,0.0,29.317894435153747,387.6272162067836
2033,low,1.0,0.7957400166988373,628.1319029494542,37.99114867115967,34.25189060216988,425.8073163632052,47.4,1544741.959194,1051894.1070568408,0.0,1.1971359625236155,36.79401270863605,0.0,1.1372791643974347,33.114611437772446,0.0,28.431979109935867,397.3753372532693
2034,low,1.0,0.7946353149414063,641.6013478059834,38.85390532210952,35.02651144402882,434.64331089851675,48.2,1567106.5835040002,1036042.0659700768,0.0,1.159933082604931,37.69397223950459,0.0,1.1019364284746844,33.92457501555413,0.0,27.54841071186711,407.0949001866496
2035,low,1.0,0.7935306131839752,655.0707926625126,39.71411652131259,35.798846320214906,443.45309424787155,49.0,1589348.1548700002,1020142.101776238,0.0,1.1228290206714728,38.591287500641116,0.0,1.0666875696378992,34.73215875057701,0.0,26.66718924094748,416.78590500692405
2036,low,1.0,0.7924259114265442,668.5402375190419,40.571782268768864,36.568895230728145,452.2366664112698,49.8,1611466.6732919998,1004212.7544505949,0.0,1.085823776723241,39.485958492045626,0.0,1.031532587887079,35.53736264284107,0.0,25.788314697176972,426.44835171409284
2037,low,1.0,0.7913212096691131,682.0096823755711,41.42690256447837,37.336658175568544,460.99402738871146,50.6,1633462.1387700003,988271.4576206234,0.0,1.0489173507602354,40.377985213718134,0.0,0.9964714832222236,36.34018669234632,0.0,24.911787080555587,436.08224030815586
2038,low,1.0,0.7902165079116822,695.4791272321002,42.27947740844108,38.1021351547361,469.72517718019645,51.4,1655334.5513040002,972334.5892368879,0.0,1.0121097427824564,41.267367665658625,0.0,0.9615042556433335,37.14063089909276,0.0,24.037606391083337,445.6875707891131
2039,low,1.0,0.7891118061542511,708.9485720886294,43.12950680065701,38.86532616823081,478.4301157857249,52.2,1677083.9108940002,956417.5201739431,0.0,0.9754009527899034,42.15410584786711,0.0,0.9266309051504081,37.9386952630804,0.0,23.1657726287602,455.26434315696474
2040,low,1.0,0.7880071043968201,722.4180169451586,43.97699074112616,39.62623121605267,487.1088432052969,53.0,1698710.21754,940534.6608404919,0.0,0.9387909807825767,43.03819976034358,0.0,0.8918514317434478,38.734379784309226,0.0,22.296285793586197,464.8125574117107
2041,low,1.0,0.7880071043968201,738.2944989858701,45.026500920001524,40.56933094521242,498.0655602936784,53.6,1714585.0204000003,921673.9362005455,0.0,0.9096023442210006,44.116898575780525,0.0,0.8641222270099506,39.70520871820247,0.0,21.603055675248765,476.46250461842965
2042,low,1.0,0.7880071043968201,754.1709810265816,46.076011098876876,41.51243067437216,509.02227738205977,54.2,1730384.6916440001,903074.794211028,0.0,0.8804137076594244,45.195597391217454,0.0,0.8363930222764532,40.67603765209571,0.0,20.90982555691133,488.11245182514847
