month,month_name,lcz,coef_t2m,coef_lst,slope_median,coef_lst_as_t2m,abs_gap,ratio_abs,sign_check
9,Sep,3,-0.022418007104349,0.0,1.497865915298462,0.0,0.022418007104349,0.0,same_cooling_sign
10,Oct,3,-0.0297013707516893,0.0,1.4328093528747559,0.0,0.0297013707516893,0.0,same_cooling_sign
11,Nov,3,-0.0329808342117055,0.0,1.375497817993164,0.0,0.0329808342117055,0.0,same_cooling_sign
12,Dec,3,-0.0251778174445232,0.0,1.3238987922668457,0.0,0.0251778174445232,0.0,same_cooling_sign
1,Jan,5,-0.0546459768278089,0.0,1.33087956905365,0.0,0.0546459768278089,0.0,same_cooling_sign
2,Feb,5,-0.0535722252454897,0.0,1.3480101823806763,0.0,0.0535722252454897,0.0,same_cooling_sign
3,Mar,5,-0.0535180765555772,0.0,1.3720790147781372,0.0,0.0535180765555772,0.0,same_cooling_sign
4,Apr,5,-0.051827034259683,0.0,1.4231163263320923,0.0,0.051827034259683,0.0,same_cooling_sign
5,May,5,-0.0495216322148285,0.0,1.478806495666504,0.0,0.0495216322148285,0.0,same_cooling_sign
6,Jun,5,-0.0476563922552281,0.0,1.5447502136230469,0.0,0.0476563922552281,0.0,same_cooling_sign
7,Jul,5,-0.0468687656408569,0.0,1.5729475021362305,0.0,0.0468687656408569,0.0,same_cooling_sign
8,Aug,5,-0.0488845708626353,0.0,1.566159963607788,0.0,0.0488845708626353,0.0,same_cooling_sign
9,Sep,5,-0.0511991442357364,0.0,1.528073787689209,0.0,0.0511991442357364,0.0,same_cooling_sign
10,Oct,5,-0.0535198432825866,0.0,1.462988257408142,0.0,0.0535198432825866,0.0,same_cooling_sign
11,Nov,5,-0.0550905356779615,0.0,1.406766653060913,0.0,0.0550905356779615,0.0,same_cooling_sign
12,Dec,5,-0.0519560197957321,0.0,1.3553979396820068,0.0,0.0519560197957321,0.0,same_cooling_sign
1,Jan,6,-0.0340578221980871,-0.0415985111240619,1.3364863395690918,-0.031125279692326698,0.0029325425057603986,0.9138951842339141,same_cooling_sign
2,Feb,6,-0.0298023239542255,0.0,1.3530514240264893,0.0,0.0298023239542255,0.0,same_cooling_sign
3,Mar,6,-0.0210015514470016,0.0,1.3765196800231934,0.0,0.0210015514470016,0.0,same_cooling_sign
4,Apr,6,0.0,0.0,1.4264661073684692,0.0,0.0,,both_zero
5,May,6,0.0,0.0,1.4853456020355225,0.0,0.0,,both_zero
6,Jun,6,0.0,0.0,1.552936315536499,0.0,0.0,,both_zero
7,Jul,6,0.0,0.0,1.5821714401245117,0.0,0.0,,both_zero
8,Aug,6,0.0,0.0,1.5761737823486328,0.0,0.0,,both_zero
9,Sep,6,-0.0128067869568034,0.0,1.5361988544464111,0.0,0.0128067869568034,0.0,same_cooling_sign
10,Oct,6,-0.0277132264536125,0.0,1.4683352708816528,0.0,0.0277132264536125,0.0,same_cooling_sign
11,Nov,6,-0.0326496183614851,0.0,1.410836100578308,0.0,0.0326496183614851,0.0,same_cooling_sign
12,Dec,6,-0.0339452459592242,-0.0636219520728928,1.3589303493499756,-0.046817669576167335,0.012872423616943136,1.3792113815409022,same_cooling_sign
1,Jan,8,0.0,0.0,1.3968833684921265,0.0,0.0,,both_zero
2,Feb,8,0.0,-0.0553910462290034,1.4152542352676392,-0.03913858361888483,0.03913858361888483,,same_cooling_sign
3,Mar,8,0.0,-0.12354524556664,1.438454270362854,-0.08588750307333397,0.08588750307333397,,same_cooling_sign
4,Apr,8,0.0,-0.178280895267643,1.4892983436584473,-0.11970797928217504,0.11970797928217504,,same_cooling_sign
5,May,8,0.0,-0.180008539251363,1.544339895248413,-0.116560181994397,0.116560181994397,,same_cooling_sign
6,Jun,8,0.0,-0.180489750004245,1.6091489791870117,-0.11216472330326656,0.11216472330326656,,same_cooling_sign
7,Jul,8,0.0,-0.17311455691789,1.6375727653503418,-0.10571411578211849,0.10571411578211849,,same_cooling_sign
8,Aug,8,0.0,-0.138290950159282,1.631544589996338,-0.0847607543227442,0.0847607543227442,,same_cooling_sign
9,Sep,8,0.0,-0.0807424705491865,1.5935949087142944,-0.050666872809181585,0.050666872809181585,,same_cooling_sign
10,Oct,8,0.0,-0.0378460232440225,1.5299395322799683,-0.024736940542756658,0.024736940542756658,,same_cooling_sign
11,Nov,8,0.0,0.0,1.472165822982788,0.0,0.0,,both_zero
12,Dec,8,0.0,0.0,1.4205387830734253,0.0,0.0,,both_zero
