"CNTR_CODE","agegroup","agepop","death","excess_total_est","excess_cold_est","excess_heat_est","excess_total_low","excess_total_hi","excess_cold_low","excess_cold_hi","excess_heat_low","excess_heat_hi","rawrate_total_est","rawrate_cold_est","rawrate_heat_est","rawrate_total_low","rawrate_total_hi","rawrate_cold_low","rawrate_cold_hi","rawrate_heat_low","rawrate_heat_hi","af_total_est","af_cold_est","af_heat_est","af_total_low","af_total_hi","af_cold_low","af_cold_hi","af_heat_low","af_heat_hi","cntr_name","region"
"LT","20-44",422666.366507951,784.292677091161,47.5438866448754,43.3184647011382,4.22542194373719,12.4042778752606,81.6517224069002,9.55565655822701,76.4080352194574,-2.50041814646445,10.4540517537787,11.2485616108234,10.248855393684,0.9997062171394,2.93476814295496,19.3182445723095,2.26080363033742,18.0776236942478,-0.59158200050853,2.47335784963198,6.06200823157108,5.52325247531326,0.53875575625782,1.58158787370889,10.4108740004734,1.21837890845388,9.74228594137138,-0.318811869535513,1.33292736999042,"Lithuania","Northern"
"LT","45-64",364985.742186881,3432.31647084047,284.092785924251,263.686718178279,20.4060677459717,143.808972077496,423.464312007265,123.366175228043,397.26643092685,-6.28533716706892,45.8860393852757,77.8366804747099,72.2457585872671,5.59092188744274,39.4012574890836,116.022151843521,33.8002724404716,108.844369795531,-1.72207745141198,12.5720087339141,8.2769985908288,7.68247101974573,0.59452757108306,4.18985176044332,12.3375660608467,3.5942540927129,11.5742949201176,-0.183122308809998,1.33688253327175,"Lithuania","Northern"
"LT","65-74",124708.06547202,3244.35756543676,313.740261140881,293.040634101813,20.6996270390681,176.643618610966,444.792947113407,160.587698371564,415.636396888799,-3.34603594747235,41.5346220023787,251.57976747805,234.981300521867,16.5984669561828,141.645705065162,356.667345796654,128.770900072693,333.287502548946,-2.68309506270313,33.3054817626833,9.67033549209442,9.03231620409768,0.638019287996743,5.44464088954961,13.7097387739236,4.94975338360848,12.8110539145474,-0.103134006655703,1.28021098675624,"Lithuania","Northern"
"LT","75-84",91420.7437939798,5240.13492300507,562.725666737569,527.586945990248,35.1387207473209,339.265790980428,758.389508610377,311.677722945027,722.175184674022,-0.998815578052002,69.8519744426397,615.533896776965,577.097630248104,38.4362665288606,371.103730839224,829.559547578652,340.926697826267,789.946739332456,-1.09254807672848,76.4071386249644,10.7387629327464,10.0681939251994,0.670569007547038,6.4743712893917,14.4727095724372,5.94789499744959,13.781614314997,-0.0190608752012669,1.33301862392851,"Lithuania","Northern"
"LT","85+",29967.5419589167,5110.21307155118,604.803955075731,568.551274874322,36.2526802014087,387.594151558039,807.805900340576,352.723523256714,756.78199009332,2.42180288105405,68.1305542909706,2018.19674067654,1897.22358828684,120.973152389704,1293.37985774543,2695.60280068355,1177.01853472091,2525.33888542081,8.08141983875142,227.34782313602,11.8352003450249,11.1257841290313,0.7094162159936,7.5846964917333,15.8076755123514,6.90232517349117,14.8092061817611,0.0473914266811368,1.33322335755933,"Lithuania","Northern"
"LU","20-44",32288.0680964286,16.421548594939,0.475010891737643,0.10874205884938,0.366268832888264,0.210163250963482,0.731758717211705,-0.0244763256602983,0.250415867515928,0.136322615561973,0.586618726681029,1.47116541726504,0.336787133019605,1.13437828424543,0.650900668122439,2.26634407182957,-0.075806101458903,0.775567825142275,0.422207408491719,1.81682820083595,2.89260716790156,0.662191255719289,2.23041591218228,1.27980165663702,4.45608837060123,-0.149050045547116,1.52492236690214,0.830144701480752,3.57224973813871,"Luxembourg","Western"
"LU","45-64",24751.7525089286,92.4616683009648,1.70361760058796,1.31872581803915,0.38489178254881,-1.00415161102216,4.29224018490234,-1.39882625537841,3.92721575478048,0.18065261208474,0.567372268654005,6.88281607523923,5.32780786961835,1.55500820562087,-4.05689096422542,17.3411566851843,-5.65142308559289,15.8664149270394,0.729857863678842,2.29225089596924,1.84251228848981,1.42624056246387,0.416271726025944,-1.08601935209911,4.6421833650362,-1.5128715294485,4.24739876204408,0.195381086459215,0.613629711727887,"Luxembourg","Western"
"LU","65-74",6960.20844642857,106.379581457494,3.72422425428641,3.22741626107051,0.496807993215897,0.858906688510343,6.7816032373984,0.371999901028699,6.36268498972193,0.242855022023791,0.702782947025295,53.5073666679823,46.3695345608014,7.13783210718092,12.3402437602435,97.4339100559291,5.34466609573425,91.4151499727965,3.48919179494409,10.0971537337493,3.5008825972628,3.03386816986124,0.467014427401566,0.807398070891581,6.37491062145994,0.349691074106491,5.9811148930533,0.228291011015896,0.66063706718578,"Luxembourg","Western"
"LU","75-84",4327.32060714286,179.81727962387,8.64670097767894,7.73480999188884,0.911890985790101,3.68085901689613,13.3538704966473,2.66193926826218,12.5101805233594,0.546481606600102,1.2567562999155,199.816509167505,178.74363131591,21.0728778515947,85.0609268659306,308.59443311422,61.5147226176925,289.097611642398,12.6286368913377,29.0423662587201,4.80860404281811,4.30148315449329,0.507120888324824,2.04699961238182,7.42635553411781,1.48035787986019,6.95716259834837,0.303909394994295,0.698907414540085,"Luxembourg","Western"
"LU","85+",1746.56916071428,248.209829739056,15.5008811050722,14.132555119351,1.36832598572114,9.19029763394343,22.66623930098,7.67211665922874,21.4617153180981,0.794974869686202,1.84504433317546,887.504569171075,809.160921722179,78.3436474488962,526.191452400599,1297.75790222417,439.267841881001,1228.79275558267,45.516369323794,105.638206300454,6.24507140646617,5.69379348682871,0.551277919637457,3.70263242338357,9.13188624512136,3.09098018692268,8.64660168401103,0.320283395110485,0.743340557912295,"Luxembourg","Western"
"LV","20-44",354795.014639927,724.930620222702,45.5046398617049,41.6373339723328,3.86730588937213,13.5456696549007,76.0459256524354,12.2249321862912,70.863191813887,-2.33533213275588,9.31687885400338,12.8256142234373,11.7356028845528,1.0900113388845,3.81788613029073,21.43376386774,3.44563245870238,19.9729953606604,-0.658220109187823,2.62598922463971,6.27710274504968,5.7436301917474,0.533472553302283,1.86854704119678,10.4900970563326,1.68635892115243,9.77516880058363,-0.322145605056448,1.28520972822767,"Latvia","Northern"
"LV","45-64",299286.435216036,2921.98431768445,246.208041916723,228.743848579967,17.464193336756,131.622213580926,353.073777039118,119.391726000423,331.22162487263,-4.56717165540058,37.4639352226119,82.2650187065783,76.4297414331029,5.8352772734754,43.9786766433022,117.971860897824,39.8921273910197,110.670443394316,-1.52602026620546,12.5177524987289,8.42605623947472,7.82837358830308,0.597682651171641,4.50454893903166,12.0833563309099,4.08598106697012,11.3355031670776,-0.156303770275532,1.28214018794942,"Latvia","Northern"
"LV","65-74",112566.042669279,2963.94016718999,290.441744518025,271.417886263715,19.02385825431,174.339266991838,396.198877282149,156.743896310673,373.5584626825,-1.69980040894145,38.2611778994745,258.018970580095,241.118795533343,16.9001750467523,154.877317224387,351.970157151378,139.246163935237,331.857151432445,-1.51004722972761,33.9899822292647,9.79917704591799,9.15733351395676,0.641843531961237,5.88201033616423,13.3673034856764,5.28836236459107,12.6034414195566,-0.0573493496177075,1.29088901061551,"Latvia","Northern"
"LV","75-84",81714.210716398,4783.25631533448,519.969051309602,487.457414768019,32.511636541583,342.156065065996,684.557307940471,309.347492115517,649.593108269343,0.609151082956177,63.8409983095876,636.326346116512,596.539341804104,39.7870043124074,418.722841555066,837.745726158128,378.572453191962,794.957330645778,0.745465296202066,78.1271675390194,10.8706081596056,10.1909114342315,0.679696725374198,7.15320364432676,14.3115330396549,6.46729908919558,13.5805623919177,0.0127350708972739,1.33467650698379,"Latvia","Northern"
"LV","85+",26072.235105252,4408.40477396873,527.168251233831,495.410890664697,31.7573605691332,364.990636290423,681.418039031911,332.913147366485,647.003176844255,2.76252409094313,58.5894226628845,2021.95266000665,1900.14737388166,121.805286124994,1399.92077709095,2613.57737946543,1276.88763937014,2481.57925176857,10.5956550322249,224.719600856477,11.9582542498528,11.2378721117003,0.720382138152509,8.27942657275173,15.4572475525757,7.55178266143595,14.6765828007618,0.0626649373772482,1.32903908935155,"Latvia","Northern"
"MT","20-44",77603.8923219637,41.5408446646417,2.21164898513654,1.50272935586122,0.708919629275321,1.20150332737942,3.2577516645884,0.543511494856408,2.48009459432959,0.367814843389053,1.05351744773903,2.84992017663345,1.93640977391531,0.913510402718138,1.5482513717155,4.19792302565522,0.700366281373468,3.19583788921328,0.473964426762333,1.35755748354501,5.32403470124677,3.6174742425021,1.70656045874467,2.89234207219215,7.84228556469701,1.30837853501575,5.97025557460697,0.885429380067773,2.53610020750433,"Malta","Southern"
"MT","45-64",53698.0304070929,204.607012018699,14.4224248841851,11.2154622445789,3.20696263960625,8.95941914207179,20.2567280463987,6.07827211827522,16.3946285729341,1.59329338785822,4.75666614681374,26.8583871230407,20.8861706091504,5.97221651389033,16.6848189293892,37.7234097653663,11.319357660225,30.5311543992284,2.96713562076527,8.85817619520257,7.04884194431572,5.48146524106121,1.56737670325452,4.37884266706021,9.900309792192,2.97070567538503,8.01274033141927,0.778709083397695,2.324781589782,"Malta","Southern"
"MT","65-74",23838.6247680891,328.190359062907,27.021483680022,21.96776179546,5.05372188456203,17.7472856669129,35.6680853888778,13.7140087857852,30.1954153920785,2.63179995223088,7.40130854549824,113.351688458948,92.1519676959995,21.1997207629488,74.4476069385923,149.623083277119,57.5285232231312,126.665928449442,11.0400661860069,31.0475483275604,8.23347881308195,6.69360363241178,1.53987518067018,5.40761944305351,10.8681088288889,4.17867509117066,9.20057965087596,0.801912633797515,2.25518768029367,"Malta","Southern"
"MT","75-84",11522.001971243,487.080232537471,44.7992181590895,37.3558295522264,7.44338860686314,30.6087782251696,58.0241802231591,24.6323936536378,49.2841701611267,4.14678723404471,10.7154935632137,388.814533020397,324.213011293178,64.6015217272187,265.655033748162,503.594604201402,213.785709420256,427.739643545728,35.9901625116398,93.0002753858033,9.1975028273485,7.66933803854432,1.52816478880418,6.28413476476174,11.9126534700205,5.05715321792345,10.1182858323727,0.851356092289312,2.19994424889525,"Malta","Southern"
"MT","85+",3698.04307299843,546.144491171607,55.9116707117175,47.6163326860238,8.29533802569372,39.3385166031805,69.7776809654517,32.2307301571425,60.7264362240572,4.13844337595924,11.7861462160821,1511.92589183077,1287.60892575045,224.316966080326,1063.76577629433,1886.88123929489,871.561783378833,1642.12355089794,111.909009556336,318.713059405383,10.2375235153932,8.71863278962601,1.51889072576715,7.2029503618704,12.7764139515099,5.90150238227252,11.1191153999896,0.757756132828753,2.15806373708871,"Malta","Southern"
"NL","20-44",2280007.00217354,1188.79849693316,41.6011426321993,11.8735896049209,29.7275530272784,24.6142509116943,56.0932444532109,4.91340153597596,18.6665511118975,12.9079916570292,44.6914370521106,1.82460591535643,0.520769874548709,1.30383604080772,1.07956909291197,2.46022246421774,0.215499405540948,0.818705867749642,0.566138246273978,1.96014472804277,3.49942759345012,0.998789082889335,2.50063851056078,2.07051497585113,4.71848211432965,0.413308188784849,1.57020312189602,1.08580147857933,3.75937866403808,"Netherlands","Western"
