"CNTR_CODE","death","pop","excess_total_est","excess_cold_est","excess_heat_est","rawrate_total_est","rawrate_cold_est","rawrate_heat_est","excess_total_low","excess_total_hi","excess_cold_low","excess_cold_hi","excess_heat_low","excess_heat_hi","rawrate_total_low","rawrate_total_hi","rawrate_cold_low","rawrate_cold_hi","rawrate_heat_low","rawrate_heat_hi","stdrate_total_est","stdrate_cold_est","stdrate_heat_est","stdrate_total_low","stdrate_cold_low","stdrate_heat_low","stdrate_total_hi","stdrate_cold_hi","stdrate_heat_hi","cntr_name","region","af_total_est","af_cold_est","af_heat_est","af_total_low","af_total_hi","af_cold_low","af_cold_hi","af_heat_low","af_heat_hi"
"ES",200913.571792826,17714877.8579381,11857.0685787194,10094.669850392,1762.39872832743,66.9328271626,56.9841346428958,9.94869251970422,8811.3001750564,15001.2074232864,6771.20326465113,13353.8223475089,1253.47932854281,2282.36781063361,49.7395479986785,84.6814047694056,38.2232568519626,75.38196116619,7.07585645577073,12.8839037386355,62.2318013381465,52.8106723992463,9.42112893890015,46.2706181222258,35.053002651922,6.66997766966458,78.4490582621906,70.02460081195,12.2368414263892,"Spain","Southern",5.90157671924023,5.02438424657604,0.877192472664188,4.38561720665753,7.46649780272437,3.37020700206024,6.64655066770643,0.623889823548283,1.13599484109869
"FI",16253.4820428476,1460601.86142518,1497.20332233415,1452.32524784668,44.8780744874676,102.505916353773,99.4333422545122,3.07257409926055,1059.41820785808,1932.13008459174,1020.12160381245,1873.57416096455,14.8732316682071,72.2533757938554,72.5329903950933,132.283145436119,69.8425512628794,128.274118392291,1.01829472226569,4.94682210820642,109.683828982226,106.382024691081,3.30180429114471,77.8765697677977,75.0164559151325,1.11024302077354,141.132479489773,137.06638184927,5.29698998906794,"Finland","Northern",9.21158505228112,8.9354714517052,0.276113600575923,6.51809996814979,11.8874840449464,6.27632651959253,11.5272170973913,0.0915079712088654,0.44454090270245
"FR",193192.648853405,17962199.016343,11428.1569169699,10531.2054518827,896.951465087273,63.6233732104404,58.6298227867357,4.99355042370469,8718.4534266851,14124.5792568747,7798.37198195481,13302.7816157658,718.558319794646,1071.28425103349,48.5377843701241,78.6350226051022,43.4154636348224,74.059872088391,4.00039170672179,5.964104116978,60.1257858567111,55.3374096571768,4.78837619953424,45.5877485890739,40.494509536757,3.84710146810411,74.5884089567305,70.2252053388031,5.72049571093544,"France","Western",5.91542016986458,5.4511419116541,0.464278258210479,4.51282876363515,7.31113701308196,4.03657801072558,6.88575972984357,0.37193874821805,0.554516052961408
"HR",16201.0280722689,1101530.64912721,1434.66522811958,1141.54012421154,293.125103908034,130.242878784746,103.632170844818,26.6107079399279,1048.32283133351,1790.67830985916,773.539619672488,1483.15024870354,211.668803611758,363.394518303037,95.1696470873633,162.562731348237,70.2240668732547,134.644483099831,19.2158796289029,32.9899597973938,140.4254332298,112.039564723824,28.3858685059756,102.95418563842,76.3290416652655,20.4969033619352,175.740863957708,145.028741442859,35.2188206368862,"Croatia","Southern",8.85539622374504,7.04609682249425,1.80929940125079,6.47071794862146,11.0528683850887,4.77463291972529,9.15466748213482,1.30651464010527,2.24303369318305
"HU",45247.9918594547,2806295.44995581,4096.43413549227,3787.84091347673,308.593222015545,145.97301704483,134.976554715092,10.9964623297381,3136.30929821076,5006.64028733721,2848.742187393,4671.58749723047,157.084351323085,468.760785752693,111.75976849694,178.407454832172,101.512554119627,166.468127841067,5.59756996810718,16.7039000031189,159.046063943845,147.15215629736,11.8939076464852,122.110525829696,111.236046661602,6.02519507851448,194.009148323459,181.276810957981,17.997921689247,"Hungary","Eastern",9.05329489144237,8.37129065360996,0.68200423783241,6.93137787849787,11.0648894715337,6.2958422469698,10.3244084549452,0.34716314441314,1.03598141373592
"IE",9091.904045362,1090315.97870325,1139.57304055628,1133.75806526486,5.81497529142156,104.517686873819,103.984357508295,0.533329365523698,988.71823892084,1291.53465956465,980.721804243373,1284.97959484915,-0.0890374269012875,11.4567782250273,90.6818076808112,118.455079517473,89.9484024264026,117.853871716841,-0.0081662039849386,1.05077596300599,149.788123651513,148.98221633925,0.805907312262661,130.511051073656,129.73108089417,0.0200748264496298,170.067198283648,168.861107278285,1.58227385695508,"Ireland","Northern",12.533931670095,12.4699739417423,0.0639577283527087,10.8747104455552,14.2053265533911,10.7867592899164,14.133228732266,-0.000979304515941385,0.126010769227945
"IT",220953.518386908,17186805.4066877,17143.5367719903,13884.7214056299,3258.8153663604,99.748245042208,80.7870984576756,18.9611465845324,13725.9751864289,20370.1911780572,10464.6376940797,17220.0662887612,2498.16101640294,3935.99543450519,79.8634467641547,118.522265750043,60.8876253990037,100.193525680232,14.5353424169849,22.9012625753802,84.7157006773787,68.4009536056578,16.3147470717208,67.8038633100994,51.697464341195,12.4990647192161,100.615946189212,84.9145669424225,19.7252404138566,"Italy","Southern",7.75888833866433,6.28400104555776,1.47488729310657,6.21215506620429,9.21922009967151,4.7361262995393,7.79352436407346,1.13062739830576,1.78136807381041
"LT",17811.3147079246,1033748.45991975,1812.90655552331,1696.1840378458,116.722517677506,175.372116700812,164.080925255016,11.291191445796,1083.07555277244,2493.80137776819,977.681386211793,2356.17726670638,-6.71800823185609,229.619866192391,104.771672681043,241.238703075,94.5763330363454,227.925589063446,-0.649868753601589,22.2123538844466,179.825478015194,168.268759562633,11.556718452561,107.583273684167,97.0656029924644,-0.723545944757434,246.809169420995,233.358207833921,22.6620999465302,"Lithuania","Northern",10.1783983117019,9.5230703946359,0.655327917065965,6.08082879076048,14.0012201157652,5.48910286659974,13.2285421112573,-0.0377176437675715,1.28917977116102
"LU",643.289907716323,70073.9188196429,30.0504348293631,26.5222492491989,3.52818558016421,42.883907929721,37.8489596356987,5.03494829402235,16.1783573024246,43.2718968020804,12.4341476932678,40.1134665131973,2.53657020745855,4.40222504754672,23.0875589305412,61.7517865861822,17.7443304195259,57.2445029318851,3.61984922519776,6.28225896553213,54.899408720831,48.7101721161185,6.18923660471255,29.5477980757294,23.0606612005608,4.39219454165384,78.9235609457442,73.347583830846,7.75193744386076,"Luxembourg","Western",4.67136736779255,4.12290771719904,0.548459650593503,2.51494032602777,6.72665563115944,1.93289954406543,6.23567477618294,0.394312140923112,0.684329879070325
"LV",15802.5161944004,874433.938346892,1629.29172883989,1524.66737424873,104.624354591154,186.325307995255,174.360498533611,11.9648094616439,1062.10673579683,2187.42390134757,963.291109292166,2060.02643168773,9.13673291493121,195.281532266851,121.462204200895,250.153133978637,110.161679121611,235.583997984134,1.04487400525694,22.3323368070582,184.675892342051,172.820595557403,11.8552967846481,120.55816202799,109.419524262319,1.02378919128479,247.649498842421,233.811683345065,22.1205496559009,"Latvia","Northern",10.3103310181528,9.64825699586374,0.66207402228911,6.72112417244788,13.8422506545046,6.0958083981177,13.0360659425725,0.0578182157988791,1.23576226636648
"MT",1607.56293945532,170360.592541387,144.366446420151,119.65811563415,24.7083307860005,84.741690708242,70.2381424301989,14.5035482780432,109.824783324364,176.820378457705,86.7800067390906,149.924650051109,16.3574676594381,32.8142171601397,64.4660726321926,103.791831091893,50.9390143838625,88.0043018250752,9.60167337728898,19.2616242234353,105.753778185091,88.0308202214586,17.7229579636323,79.8883239235059,63.9639182382388,11.5051962752619,129.732457529101,110.204238071431,23.6110690591249,"Malta","Southern",8.98045375872282,7.44344825930691,1.53700549941591,6.83175635795481,10.9992818394791,5.39823384884037,9.326207165606,1.01753202054909,2.04123996359719
"NL",62738.4487903761,5644324.79454687,2413.69955626551,2069.82324003,343.876316235512,42.763300201956,36.6708741146454,6.09242608731056,1166.98828493829,3538.4387654068,722.260834506236,3236.09231752373,234.820023438881,453.449233040697,20.6754275740075,62.6902046605359,12.796230918604,57.3335595543723,4.16028545461712,8.03371970158036,48.1916663511839,41.7368812261249,6.45478512505906,23.1395834620446,14.6788506749665,4.51234574672294,70.8353637880061,65.2207312675664,8.39727401858491,"Netherlands","Western",3.84724136921244,3.29913040557596,0.548110963636483,1.8600846967662,5.63998446507588,1.15122520309592,5.15806874399505,0.374284076138812,0.72276130791148
"NO",7271.62626773394,829551.179572406,697.200741392518,679.492939027637,17.7078023648807,84.0455367385399,81.9109122812511,2.13462445728885,494.014840143853,912.807476032655,479.004517006774,891.560458972624,4.66690001073452,28.611381588867,59.552062887608,110.036306199114,57.7426117643131,107.475039627113,0.562581324173403,3.44901945695681,109.366791630058,106.577555470166,2.78923615989255,77.6074115888319,75.7610910625758,0.753840382536483,142.698942939773,139.495906596243,4.47839758909423,"Norway","Northern",9.58796169828165,9.34444254984225,0.243519148439391,6.79373254282777,12.5530031718354,6.58730934966005,12.2608124530369,0.064179591179524,0.393466062960675
"PL",143387.683087762,10396899.3847308,12116.0994048139,11208.6587421298,907.440662684177,116.535699312508,107.807706195475,8.72799311703324,8958.95379214245,15075.7764685773,8096.47312734846,14213.5459461372,502.102909827145,1286.5376857516,86.1694766932133,145.002619634062,77.8739201731544,136.70946904624,4.82935239870213,12.3742438792959,131.458286300504,121.689289961129,9.76899633937502,97.8981736515176,88.2223528158666,5.47344157066356,163.400970737636,153.70439001909,13.7943619858694,"Poland","Eastern",8.44988854265686,7.81703037580249,0.632858166854379,6.24806371036697,10.5139968398471,5.64656109436744,9.91266867561957,0.350171576117753,0.897244210971846
"PT",43001.0147938624,3457780.91944479,3142.1724312005,2798.09754984278,344.074881357712,90.8725134530798,80.9217707839069,9.95074266917291,2508.33435267601,3746.72958929555,2120.99736445932,3435.66527971505,253.762380760648,439.738831999785,72.5417373486683,108.356477075394,61.3398423402685,99.3604094578294,7.33887966509441,12.7173711187692,87.9146386523883,78.2802404382482,9.63439821414007,70.1948527434478,59.3733427304004,7.1074695773692,104.84172169745,96.088210665103,12.2981228721867,"Portugal","Southern",7.30720529797586,6.50705003883341,0.800155259142448,5.83319804125652,8.71311899790403,4.93243560559425,7.98973069864719,0.590131144525613,1.02262431272331
"RO",99627.0212808454,6010798.78663788,10448.0926992748,9591.23709576403,856.855603510781,173.822033811897,159.566763690136,14.2552701217613,8408.74858497172,12338.7650814646,7556.62233073902,11473.3036617708,485.384033592598,1226.79467030216,139.894028788063,205.276628272667,125.7174395446,190.878185562893,8.07520016593495,20.4098442461482,201.477642416437,185.137086054994,16.3405563614429,162.239439321234,146.4101498213,9.3360945035238,237.483902313688,220.369629616355,23.2199058845159,"Romania","Eastern",10.4872077524249,9.62714429524761,0.860063457177278,8.44022884240183,12.3849583404507,7.58491244000676,11.516256849061,0.48720119035208,1.23138748356619
"SE",30706.6731230107,2807484.13436692,2682.37539665375,2599.00873053864,83.3666661151159,95.5437419509627,92.5742980600923,2.96944389087046,2132.91804003282,3280.04750064671,2061.78699257493,3186.88683234797,47.6542273028514,117.135482353746,75.9725767965484,116.832272015184,73.4389543768467,113.513974783925,1.69739970101727,4.17225803415481,99.6476411333472,96.5503080598137,3.09733307353342,79.2113282666502,76.6444465618686,1.77216954464774,121.865231656364,118.401282645259,4.35187124409062,"Sweden","Northern",8.73548034952591,8.46398670454148,0.27149364498443,6.94610592130372,10.6818719419941,6.71445905036808,10.3784829427184,0.155191762754464,0.381465884905544
"SI",3507.90234229441,308319.95936946,220.096260932756,171.758256635481,48.3380042972751,71.3856674679353,55.7077968571158,15.6778706108195,143.253179895749,303.956448462317,94.5693846674179,250.877126276646,31.6466979595224,64.3553724413763,46.462506089036,98.5847458866863,30.6724822034941,81.3690838535755,10.2642391443754,20.8729180468849,76.1694619730981,59.5662822387793,16.6031797343189,49.6541807710973,32.6619202243389,10.9123045870014,105.144402576949,86.7355652298928,22.153975227652,"Slovenia","Southern",6.27429841130633,4.89632378201096,1.37797462929537,4.0837277072557,8.6649062260812,2.69589559342074,7.15177053967115,0.90215447499668,1.83458278371807
"SK",10811.0671077181,877321.792029657,923.401389150608,849.411129773228,73.9902593773802,105.25230280834,96.818651661227,8.43365114711285,671.435472387683,1159.6904831498,603.504240669283,1076.03041014466,39.0666834530576,111.341811654728,76.5324056107551,132.185304603786,68.7893822029764,122.649456552914,4.45294802978483,12.6911029301052,145.3456064897,133.96742097453,11.3781855151704,107.05470467215,96.2368374152368,6.20298410911199,180.640501622902,168.966502916756,16.8609164528413,"Slovakia","Eastern",8.54126035802128,7.85686668401886,0.684393674002428,6.21063088127848,10.7268826619518,5.58228188444445,9.95304533237493,0.361358255052986,1.02988734178923
"UK",299056.642473947,26545907.1784718,28829.9845282001,28342.1904988054,487.794029394725,108.604254261767,106.766705346542,1.83754891522531,25304.4528111849,32526.6779251234,24841.8854601866,31953.9285997918,336.778713878299,626.986081542602,95.3233680848033,122.529916594834,93.5808495568495,120.372336062811,1.26866530352152,2.36189359560134,123.211529032307,121.122894958674,2.08863407363298,108.396170741837,106.339833783919,1.4389279413088,138.841991425051,136.580069635709,2.68543655161737,"United Kingdom","Northern",9.64030903634307,9.477198120177,0.163110916166064,8.46142476617595,10.8764271731423,8.30674926819279,10.6849084960805,0.112613687859362,0.209654624741272
