year,scenario,ramp_factor,ac_penalty,deaths_on_warning_days,gross_avoided_deaths,net_avoided_deaths,life_years_saved,warning_days,cost_total,cost_pv,gross_<15,gross_15-64,gross_65+,net_<15,net_15-64,net_65+,lys_<15,lys_15-64,lys_65+
2040,low,1.0,0.8932083576917649,959.2296803823967,85.67919674635571,77.47598355590891,949.2477439092108,48.0,1957505.3366399999,1083823.2435879265,0.0,7.294129683775404,78.3850670625803,0.0,6.929423199586633,70.54656035632227,0.0,173.23557998966584,776.0121639195451
2041,low,1.0,0.8932083576917649,978.4753680398719,87.39823765287393,79.01366709283884,963.647690618339,48.4,1969281.5198672002,1058585.8550657118,0.0,7.105064105045996,80.29317354782793,0.0,6.7498108997936965,72.26385619304514,0.0,168.74527249484242,794.9024181234965
2042,low,1.0,0.8932083576917649,997.7210556973471,89.11727855939213,80.55135062976876,978.0476373274669,48.8,1980982.7219168001,1033860.0269463493,0.0,6.915998526316589,82.20128003307555,0.0,6.570198600000759,73.981152029768,0.0,164.25496500001898,813.7926723274479
2043,low,1.0,0.8932083576917649,1016.9667433548223,90.83631946591035,82.08903416669867,992.4475840365949,49.2,1992608.9427888002,1009638.5091583016,0.0,6.726932947587182,84.10938651832316,0.0,6.390586300207822,75.69844786649085,0.0,159.76465750519554,832.6829265313994
2044,low,1.0,0.8932083576917649,1036.2124310122974,92.55536037242855,83.62671770362859,1006.8475307457229,49.6,2004160.1824832,985914.0067918325,0.0,6.537867368857774,86.01749300357078,0.0,6.210974000414885,77.4157437032137,0.0,155.27435001037213,851.5731807353508
2020,central,0.05,0.7893834710121155,693.0824423246444,5.471078240197823,4.228123243175212,56.99377896918223,37.0,231602.512544,231602.512544,0.0,0.8320970868456274,4.638981153352195,0.0,0.7488873781610648,3.4792358650141466,0.0,18.722184454026618,38.27159451515561
2021,central,0.05,0.7893834710121155,712.4089288761934,5.62363833056313,4.3425359971830035,58.25170490690809,37.8,82960.80340842,80544.46932856311,0.0,0.8320483284043695,4.7915900021587605,0.0,0.7488434955639326,3.5936925016190706,0.0,18.721087389098315,39.53061751780977
2022,central,0.05,0.7893834710121155,731.7354154277425,5.776198420928438,4.4569487511907955,59.50963084463396,38.6,84301.90537188001,79462.63113571497,0.0,0.8319995699631119,4.944198850965326,0.0,0.7487996129668006,3.7081491382239946,0.0,18.719990324170016,40.78964052046394
2023,central,0.05,0.7893834710121155,751.0619019792916,5.928758511293745,4.571361505198587,60.76755678235983,39.4,85625.81843438,78359.75356551087,0.0,0.8319508115218542,5.096807699771891,0.0,0.7487557303696688,3.8226057748289186,0.0,18.71889325924172,42.04866352311811
2024,central,0.05,0.7893834710121155,770.3883885308406,6.081318601659053,4.685774259206379,62.02548272008569,40.2,86932.54259592001,77238.43813885383,0.0,0.8319020530805965,5.2494165485784565,0.0,0.7487118477725369,3.9370624114338426,0.0,18.717796194313422,43.30768652577227
2025,central,1.0,0.7893834710121155,789.7148750823897,124.67757384048721,96.00374026428341,1265.6681731562308,41.0,1764441.55713,1522022.7867128106,0.0,16.637065892786772,108.04050794770043,0.0,14.973359303508095,81.03038096077532,0.0,374.3339825877024,891.3341905685285
2026,central,1.0,0.7893834710121155,809.0413616339388,127.72877564779336,98.29199534443927,1290.8266919107482,41.8,1789888.4843224,1499003.4268393777,0.0,16.636090723961615,111.09268492383174,0.0,14.972481651565454,83.31951369287381,0.0,374.31204128913635,916.514650621612
2027,central,1.0,0.7893834710121155,828.3678481854879,130.77997745509953,100.5802504245951,1315.9852106652656,42.6,1814991.6334956002,1475754.2903544798,0.0,16.635115555136462,114.14486189996306,0.0,14.971603999622817,85.60864642497229,0.0,374.2900999905704,941.6951106746952
2028,central,1.0,0.7893834710121155,847.6943347370369,133.83117926240564,102.86850550475093,1341.1437294197826,43.4,1839751.0046495998,1452316.4319087341,0.0,16.634140386311305,117.19703887609434,0.0,14.970726347680175,87.89777915707076,0.0,374.26815869200436,966.8755707277784
2029,central,1.0,0.7893834710121155,867.0208212885859,136.8823810697118,105.15676058490679,1366.3022481743,44.2,1864166.5977844002,1428728.4724180559,0.0,16.63316521748615,120.24921585222567,0.0,14.969848695737538,90.18691188916925,0.0,374.2462173934384,992.0560307808618
2030,central,1.0,0.7893834710121155,886.347307840135,139.93358287701798,107.44501566506263,1391.4607669288175,45.0,1888238.4129,1405026.7129131397,0.0,16.632190048660995,123.30139282835698,0.0,14.968971043794896,92.47604462126773,0.0,374.22427609487244,1017.236490833945
2031,central,1.0,0.7890867954492569,893.6355450943612,141.0312017156119,108.21121859546898,1395.1000584860026,45.3,1895483.5682328,1369337.6591347163,0.0,16.252115391733646,124.77908632387825,0.0,14.626903852560282,93.58431474290869,0.0,365.6725963140071,1029.4274621719956
2032,central,1.0,0.7887901198863984,900.9237823485873,142.12795565744995,108.9768150176323,1398.7362202557233,45.6,1902657.9540192003,1334486.0078381936,0.0,15.872321830299038,126.2556338271509,0.0,14.285089647269134,94.69172537036317,0.0,357.1272411817283,1041.608979073995
2033,central,1.0,0.7884934443235397,908.2120196028136,143.22384470253215,109.74180493155268,1402.3692522379797,45.9,1909761.5702592002,1300454.7003354772,0.0,15.492809364357159,127.73103533817499,0.0,13.943528427921443,95.79827650363124,0.0,348.58821069803605,1053.7810415399438
2034,central,1.0,0.7881967687606812,915.5002568570397,144.3188688508585,110.50618833723009,1405.9991544327718,46.2,1916794.4169528002,1267226.919141214,0.0,15.113577993908011,129.20529085695048,0.0,13.60222019451721,96.90396814271287,0.0,340.05550486293026,1065.9436495698415
2035,central,1.0,0.7879000931978226,922.7884941112659,145.413028102429,111.26996523466448,1409.6259268400995,46.5,1923756.4941,1234786.0896201078,0.0,14.734627718951598,130.6784003834774,0.0,13.26116494705644,98.00880028760804,0.0,331.52912367641096,1078.0968031636885
2036,central,1.0,0.787603417634964,930.076731365492,146.50632245724358,112.03313562385588,1413.2495694599625,46.8,1930647.8017008002,1203115.8812979292,0.0,14.355958539487922,132.15036391775567,0.0,12.92036268553913,99.11277293831675,0.0,323.00906713847826,1090.2405023214842
2037,central,1.0,0.7873067420721054,937.3649686197182,147.59875191530233,112.7956995048043,1416.8700822923613,47.1,1937468.3397552,1172200.20885546,0.0,13.97757045551698,133.62118145978536,0.0,12.579813409965283,100.21588609483902,0.0,314.49533524913204,1102.3747470432293
