muni_id,pop_muni,users_muni,kwh_muni,kwh_per_user_muni,ac_share_muni,kwh_pc_overall,year
1,11488.115857119672,4142.822340606828,3772260.7016223073,910.5533447265625,0.36061808499601317,328.362000221688,2040
2,13522.72236536059,5006.126441546308,3402282.579243332,679.6237792968749,0.3702010812830008,251.59745850868902,2040
3,29512.61015343666,15940.145361661911,15727668.744262695,986.6703491210938,0.54011303232038,532.9135126474489,2040
4,18838.70854949951,9492.621836423874,9663176.65600586,1017.9670410156249,0.5038892029929549,512.9426271772,2040
5,26912.04518890381,8816.22165298462,4648378.2373046875,527.2528686523438,0.3275938930356606,172.72482283216718,2040
6,23415.025053024292,12179.866913318634,7768032.459716797,637.7764892578125,0.5201731318133046,331.7541810066727,2040
7,10248.385461688042,2599.0501205027103,2287772.376647949,880.2340087890624,0.2536058123710165,223.2324677092233,2040
8,18435.05439988221,10751.706796560204,8663213.108679295,805.7523803710938,0.5832207794639814,469.9315185495003,2040
9,33934.20950522252,15949.430390709618,13647376.425937403,855.6654663085936,0.4700103707515267,402.17163225320024,2040
10,18203.27085161209,8181.938303411007,5810961.461639404,710.2182006835938,0.4494762710563311,319.2262263748486,2040
11,14507.008279552276,5528.561176686584,5591647.70968619,1011.4110107421874,0.3810958862192922,385.4445797461668,2040
12,16966.573129579425,8312.06413533073,8231189.957905769,990.270263671875,0.489908249111279,485.141571903849,2040
13,21867.330711185932,9478.155595600605,8246956.016693115,870.101318359375,0.4334390749737088,377.13592599002027,2040
14,44853.255351901054,27767.299156814814,29294527.813049316,1055.0009765625,0.6190698743929169,653.119323964692,2040
15,35178.487896323204,9425.640693735331,8850488.525405884,938.9800415039061,0.2679376305631512,251.58808847866715,2040
16,8504.383781433105,2675.488682746887,1905430.4467773438,712.1803588867188,0.31460112237503357,224.05273512436108,2040
17,32790.993844136596,13103.522486010566,12083936.556253433,922.1899414062499,0.3996073601274402,368.51388566297385,2040
18,22302.902657940285,13317.352074275026,9211801.889495432,691.7142333984375,0.5971129533461771,413.0315246753697,2040
19,30086.505787849426,9052.414842247963,9121405.328735352,1007.6212158203123,0.30087956727443643,303.1726380276128,2040
20,24243.146552026272,8410.305582076311,7147662.820480347,849.8695678710938,0.34691476884106726,294.83230673631084,2040
21,10486.364924430847,2592.579404115677,2144426.096801758,827.1400146484376,0.24723337617934277,204.49661176731817,2040
22,15114.180824279785,6326.5536460876465,4697580.389160156,742.51806640625,0.4185839589747741,310.80615243228067,2040
23,36455.7754595654,20564.2823878797,22013031.472756557,1070.4498291015625,0.5640884641361803,603.828369997838,2040
24,16244.947232246399,4628.463038921356,3852342.6428222656,832.3157348632812,0.2849170866947358,237.14097606764292,2040
1,11366.682307871059,4569.498887787864,4158932.317179978,910.150634765625,0.40200814661844064,365.88797016874946,2050
2,13295.717395531421,5489.377354423254,3728999.5604968667,679.3119506835936,0.4128680830917922,280.4662170203882,2050
3,29055.35541510582,17590.71908724308,17348577.802490234,986.2346801757812,0.6054208883673714,597.0870964968732,2050
4,18501.989552497864,10441.971848964691,10624905.328613281,1017.5190429687499,0.5643702164751775,574.2574493659718,2050
5,26158.985733032227,9537.133588790894,5026126.033203125,527.0059204101562,0.3645834622994534,192.1376495441255,2050
6,22970.94867324829,13388.018634796143,8534449.816894531,637.46923828125,0.5828239323170696,371.5323184206865,2050
7,10087.674451351166,2831.9775775671005,2491687.596557617,879.8401489257812,0.2807364166265079,247.00317288925547,2050
8,18230.881562227616,11927.969822322833,9606498.435963213,805.3757934570311,0.6542727943028426,526.9354859869653,2050
9,33682.822350074865,17716.39038684399,15152500.517589372,855.2814941406251,0.5259770159018343,449.8583984472932,2050
10,17925.04962992668,9011.042681634426,6397020.652801514,709.9090576171875,0.5027067075223091,356.87603576401807,2050
11,14240.109473607794,6055.1027175785275,6121415.335394323,1010.9515380859376,0.42521461852529147,429.8713676843269,2050
12,16660.379787951708,9138.65627423022,9045903.90380001,989.8505859374999,0.5485262875483201,542.9590452878955,2050
13,21386.399938046932,10362.406545162201,9012286.2371521,869.7097778320312,0.48453253353441805,421.40267942520893,2050
14,43828.437541246414,30456.327972725034,32116593.10168457,1054.512939453125,0.6948987844721353,732.7797864448175,2050
15,34551.361333832145,10260.991991333663,9630516.098121643,938.5560913085936,0.296977936475292,278.73043858018974,2050
16,8314.306791305542,2908.838283061981,2070679.4086914062,711.8578491210938,0.34985938768867886,249.05015663563947,2050
17,32357.133325196803,14437.518982049078,13308125.162033081,921.773681640625,0.44619277106375943,411.2887575139396,2050
18,21597.10130795848,14470.40579029097,10005089.85290271,691.4173583984376,0.6700161092895675,463.26077329719516,2050
19,29444.6859292984,9843.636142253876,9914266.936279297,1007.1752319335938,0.33430942907287536,336.70819108361707,2050
20,23557.01497286558,9104.287830248475,7733991.316421509,849.4888916015625,0.3864788404106103,328.309479164911,2050
21,10180.410728931427,2784.4933902025223,2302129.7200927734,826.7678833007811,0.27351483789247794,226.13328493224884,2050
22,14758.036212921143,6902.303689956665,5122765.326171875,742.1819458007812,0.4676979775882019,347.1170047466564,2050
23,35949.386363340855,22741.26073180729,24332400.524318583,1069.967041015625,0.6325910685084054,676.8516235128671,2050
24,15897.586004257202,5027.13347697258,4182280.440673828,831.94140625,0.3162199264483531,263.0764469243229,2050
