"URAU_CODE","agegroup","b1","b2","b3","b4","b5"
"BG008C","20-44",0.341021792634146,0.215815025113767,0.133946334359927,0.291857636604143,0.423210072645494
"BG008C","45-64",0.127642092513079,0.00399393721815813,-0.12082707692014,0.0288065658952141,0.300988240391151
"BG008C","65-74",-0.00332318576608179,-0.12601471733475,-0.277198421933248,-0.132645327876684,0.225972593336172
"BG008C","75-84",-0.106735453663783,-0.228671619914587,-0.400671724433706,-0.260130312528433,0.166739044629979
"BG008C","85+",-0.201687949165109,-0.322930543720751,-0.51404413603004,-0.377186225503926,0.112351171881495
"BG009C","20-44",0.390261510628819,0.253395444114152,0.195239793976121,0.324136406396451,0.518000997101939
"BG009C","45-64",0.177014379689585,0.0417059570610858,-0.0593753309127514,0.0612487648478617,0.395855099195122
"BG009C","65-74",0.0471832540250705,-0.0871768291897403,-0.214392508072115,-0.0988049637777699,0.321489083808665
"BG009C","75-84",-0.0564593172870065,-0.190062352954027,-0.33814079074396,-0.226573862783626,0.262123619530074
"BG009C","85+",-0.151907098068027,-0.284812944274505,-0.452104568436474,-0.344240355505253,0.207452052154882
"BG010C","20-44",0.219291424420091,0.101929794201099,0.0361165366650501,0.143638755873315,0.312787960263595
"BG010C","45-64",0.007549488537541,-0.108265492352946,-0.216701399086263,-0.117393305359707,0.191504223554041
"BG010C","65-74",-0.12281468410741,-0.237677431991989,-0.372355029467285,-0.278104165750275,0.116832884003243
"BG010C","75-84",-0.225611841308667,-0.339723716894403,-0.495093895419377,-0.404830851804675,0.0579516647656737
"BG010C","85+",-0.322299782903015,-0.43570541038859,-0.61053841378576,-0.524026194879039,0.00256974524916276
"BG011C","20-44",0.329496897237916,0.200513186111949,0.140384320326722,0.258816083411008,0.461783802984411
"BG011C","45-64",0.117067774629949,-0.0103642676758246,-0.113254110092648,-0.00306313059144482,0.340106452352662
"BG011C","65-74",-0.0131741745227246,-0.139654876592751,-0.268761806741227,-0.163623315821765,0.265505121238292
"BG011C","75-84",-0.115153699418011,-0.240889501508526,-0.390524427194584,-0.289342037887981,0.207092233892131
"BG011C","85+",-0.211301014016361,-0.336334516966457,-0.505323441870024,-0.407870904675845,0.152019980299696
"BG012C","20-44",0.57779835001377,0.462291508978432,0.431127583399809,0.510244151600048,0.696414808784385
"BG012C","45-64",0.364246141817059,0.250299173076415,0.17614819905445,0.246980415703295,0.574094165569712
"BG012C","65-74",0.23485139933184,0.121849582484432,0.0216520594218577,0.0874646532594874,0.499978106255496
"BG012C","75-84",0.131298047314615,0.0190526263209343,-0.101989696227555,-0.0401942576311661,0.440663745927671
"BG012C","85+",0.0320467161243391,-0.0794737327276688,-0.220494878337602,-0.162549706270728,0.383813541597664
"BG013C","20-44",0.13166233336172,-0.0076598690766933,-0.0852046818144446,0.0567075322005509,0.208501094217172
"BG013C","45-64",-0.0802607038293491,-0.218034934101549,-0.338238850872546,-0.204547787819907,0.0871136244264571
"BG013C","65-74",-0.213488120852656,-0.350289203815993,-0.497311168866251,-0.368788409940388,0.0108022461375979
"BG013C","75-84",-0.316517974302054,-0.45256648525839,-0.620327872011374,-0.495801960195971,-0.0482122592644497
"BG013C","85+",-0.411725695954473,-0.547078770939902,-0.734005021298898,-0.61317251187552,-0.102746323088318
"BG014C","20-44",0.29018142788232,0.167464010911513,0.0844784086682431,0.239599127282877,0.339734737331047
"BG014C","45-64",0.075394301003354,-0.0457542233238006,-0.171975457294407,-0.0251869965515349,0.216706744617125
"BG014C","65-74",-0.0549334548006405,-0.175130012125323,-0.32758560630024,-0.185852962844867,0.142056264281258
"BG014C","75-84",-0.158683018891498,-0.278121747149562,-0.451461637371847,-0.313753760831742,0.0826295155718944
"BG014C","85+",-0.256356303468937,-0.375081586280426,-0.56808264625228,-0.434163818926189,0.0266832011072039
"BG015C","20-44",0.27358674184696,0.156020611750077,0.0694502718441702,0.225453191795171,0.313181007174181
"BG015C","45-64",0.0594669675015953,-0.0565351445663111,-0.186206781294132,-0.0385102305432478,0.190535267548862
"BG015C","65-74",-0.0695714902853757,-0.184631052908574,-0.340277520254083,-0.197586770927515,0.116623284670218
"BG015C","75-84",-0.172770253218542,-0.287076010051084,-0.463495899778696,-0.324808550084595,0.057512029546526
"BG015C","85+",-0.270124603007239,-0.383719244022784,-0.579736103436993,-0.444825430488674,0.00174839784981956
"BG016C","20-44",0.450878699424942,0.326658691671743,0.287921317201248,0.368416331126962,0.548541844280161
"BG016C","45-64",0.24071466269607,0.11802977865338,0.0369873786146621,0.109329478653772,0.428161912972741
"BG016C","65-74",0.110901387710185,-0.0108352873074427,-0.118008484997604,-0.0507022439416531,0.353806122282672
"BG016C","75-84",0.00805277429201176,-0.11293265256961,-0.240808789202296,-0.177492364394672,0.294895429420812
"BG016C","85+",-0.0912586091557072,-0.211518625229513,-0.359385673158747,-0.299921844493694,0.238010827737489
"BG017C","20-44",0.403214253607531,0.26420903344462,0.196310219467424,0.343249013756169,0.542652707482031
"BG017C","45-64",0.19450877777238,0.0570280273972331,-0.0528822107458621,0.085960251750675,0.423108225773537
"BG017C","65-74",0.064089136787901,-0.0724389754179963,-0.208602069817202,-0.0748189891188931,0.348405114493351
"BG017C","75-84",-0.0384294458073155,-0.174208720536738,-0.331008320236343,-0.201202252868597,0.289683460100752
"BG017C","85+",-0.132259538148293,-0.267353439672319,-0.443040592719953,-0.316874485236566,0.235938489046796
"BG018C","20-44",0.448195388953819,0.331252735603613,0.252895690407434,0.42148029356158,0.507774466800773
"BG018C","45-64",0.231039671485554,0.115683211929239,-0.00638625106576857,0.153774209251863,0.383389768263757
