"URAU_CODE","agegroup","v11","v21","v31","v41","v51","v22","v32","v42","v52","v33","v43","v53","v44","v54","v55"
"BE003C","75-84",0.018016799274891,0.0132634191883146,0.0151646804126457,0.0151216831929592,0.0224537977452233,0.0118025593247671,0.0127564596678171,0.0126441703493105,0.0178044317941529,0.0146215735400063,0.013908272427567,0.0203847366937791,0.0164619210639574,0.0176182239629786,0.0511981690024582
"BE003C","85+",0.0186219623815357,0.0137472586686781,0.015700593952772,0.0156225146439119,0.023029485382832,0.0122275505941256,0.0132000888513909,0.0130750067379667,0.0182617224025185,0.015129992763834,0.0143739974895148,0.020940482198098,0.0170102789653784,0.0179135877467055,0.0526530688135368
"BE004C","20-44",0.0206138099977434,0.0154958137710479,0.0175275612519528,0.0173970441458969,0.0248145712216349,0.0137527676047551,0.0147288892617423,0.0146308510445206,0.0197600378684651,0.0167813956656849,0.0159866424047258,0.0226151699216115,0.0186874472197223,0.0195146912520869,0.0538133654618336
"BE004C","45-64",0.0147873765846953,0.0107853340232656,0.0123315983723157,0.012555723781608,0.0190681737032861,0.00960590080923648,0.0103855821420362,0.0104406759398824,0.0151330062641626,0.011853648673699,0.0114765368463833,0.0170975285529584,0.0135571840930758,0.0161571204127158,0.0408223249385395
"BE004C","65-74",0.0131029592441257,0.00942191683856631,0.0108284342245901,0.0111557006965335,0.0174030144364623,0.00840574612744137,0.00912826972144066,0.00922858319989135,0.0137907834125046,0.0104286270374682,0.0101725008973351,0.0154997331571304,0.0120790038051273,0.0151754200131314,0.0370979426525861
"BE004C","75-84",0.0127349580493477,0.00912224207976559,0.0104989024491767,0.010849385893889,0.017034903485792,0.00814209870633845,0.00885172651018165,0.00896297553436692,0.0134924786426646,0.0101168365957954,0.00988741622859151,0.0151477086664247,0.0117615949283884,0.0149486729595677,0.0363191059847753
"BE004C","85+",0.0132891169998353,0.00956711923190999,0.0109911286827641,0.0113090720684247,0.0175739295236443,0.00853399491175849,0.00926159508451792,0.0093601195239106,0.013923739185222,0.0105847183312664,0.0103160521459301,0.0156673626526038,0.0122591822963023,0.0152466387190928,0.0376153978460395
"BE005C","20-44",0.0199305608524206,0.0149897212737758,0.0169507993811938,0.0168230874603524,0.0239124419891265,0.0133142286468501,0.0142547045860004,0.0141503757659799,0.0190235335093663,0.0162417576586552,0.0154553444591207,0.0217958649305052,0.0180800944323428,0.018728262838345,0.0521219756238658
"BE005C","45-64",0.0142645655079176,0.0104082985985774,0.0118974989811165,0.0121143299661628,0.0183219096836647,0.00928014773195236,0.0100294987616461,0.0100740249947386,0.0145208472187239,0.0114486184911927,0.011067935711806,0.0164273940294747,0.0130915822613848,0.0154556152141864,0.039490838282389
"BE005C","65-74",0.0125227569092423,0.00899808032813347,0.0103428978355042,0.0106661515946477,0.0165986784059852,0.00803827178380359,0.00872847273487636,0.00881968568002048,0.0131311444033549,0.0099743805343514,0.00971853908437135,0.014773527440685,0.0115631517057232,0.014436166523676,0.0356397386348571
