"city","URAU_CODE","agegroup","mmt","tmax","log_rr_slope_at_tmax","temperature","rr","log_rr","af_heat","baseline_daily_per100k","baseline_daily_per_person","mdd_heat_per_person_day","excess_heat_only_per100k_day"
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,15.5,1.01472440660682,0.0146170550409445,0,0.894248726140725,8.94248726140725e-06,0,0
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,16,1.01081652965418,0.010758449439526,0,0.894248726140725,8.94248726140725e-06,0,0
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,16.5,1.00751487051193,0.00748677454310898,0,0.894248726140725,8.94248726140725e-06,0,0
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,17,1.00481357857702,0.00480203035169341,0,0.894248726140725,8.94248726140725e-06,0,0
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,17.5,1.00270787655783,0.00270421686527911,0,0.894248726140725,8.94248726140725e-06,0,0
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,18,1.0011940463903,0.00119333408386635,0,0.894248726140725,8.94248726140725e-06,0,0
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,18.5,1.00026941829405,0.000269382007454966,0,0.894248726140725,8.94248726140725e-06,0,0
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,19,0.999932362923535,-6.76393639549855e-05,0,0.894248726140725,8.94248726140725e-06,0,0
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,19.5,1.00018228658182,0.000182269969636439,0.000182253359474703,0.894248726140725,8.94248726140725e-06,1.62979834545121e-09,0.000162979834545121
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,20,1.00101962947728,0.00101911000822924,0.0010185908919852,0.894248726140725,8.94248726140725e-06,9.10873607616306e-09,0.000910873607616306
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,20.5,1.00244586701621,0.00244288075182358,0.00243989934687281,0.894248726140725,8.94248726140725e-06,2.1818768828526e-08,0.0021818768828526
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,21,1.00446351413638,0.00445358220041925,0.00444367970918517,0.894248726140725,8.94248726140725e-06,3.97375491931623e-08,0.00397375491931623
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,21.5,1.0071994330049,0.0071736408059247,0.00714797166180093,0.894248726140725,8.94248726140725e-06,6.39206455305549e-08,0.00639206455305549
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,22,1.01170316667077,0.0116352142739992,0.0115677869322852,0.894248726140725,8.94248726140725e-06,1.03444787284634e-07,0.0103444787284634
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,22.5,1.01823605608934,0.0180717734573751,0.0179094582049848,0.894248726140725,8.94248726140725e-06,1.60155101856783e-07,0.0160155101856783
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,23,1.02683711778762,0.0264833183560523,0.0261357106426379,0.894248726140725,8.94248726140725e-06,2.33718259489615e-07,0.0233718259489615
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,23.5,1.03755797281121,0.0368698489700308,0.036198433047025,0.894248726140725,8.94248726140725e-06,3.23704026405924e-07,0.0323704026405924
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,24,1.05046336339708,0.0492313652993108,0.0480391464904502,0.894248726140725,8.94248726140725e-06,4.29589455539727e-07,0.0429589455539727
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,24.5,1.06563180494755,0.0635678673438921,0.0615895702838785,0.894248726140725,8.94248726140725e-06,5.50763947699131e-07,0.0550763947699131
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,25,1.08331305585026,0.0800239898216724,0.0769057987442669,0.894248726140725,8.94248726140725e-06,6.87729125598957e-07,0.0687729125598957
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,25.5,1.10806322058426,0.10261364498637,0.0975244179003407,0.894248726140725,8.94248726140725e-06,8.72110864749954e-07,0.0872110864749954
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,26,1.14242697752175,0.133154927101804,0.124670530654588,0.894248726140725,8.94248726140725e-06,1.11486463225154e-06,0.111486463225154
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,26.5,1.18725964967583,0.171647836167975,0.157724260002402,0.894248726140725,8.94248726140725e-06,1.41044718588636e-06,0.141044718588636
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,27,1.24370194577928,0.218092372184883,0.195948833726864,0.894248726140725,8.94248726140725e-06,1.75226994949009e-06,0.175226994949009
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,27.5,1.31322840286285,0.272488535152528,0.23851784059803,0.894248726140725,8.94248726140725e-06,2.13294275116625e-06,0.213294275116625
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,28,1.39771159615307,0.33483632507091,0.284544821154589,0.894248726140725,8.94248726140725e-06,2.54453843847432e-06,0.254453843847432
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,28.5,1.49950603210042,0.405135741940028,0.333113719723248,0.894248726140725,8.94248726140725e-06,2.97886519522513e-06,0.297886519522513
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,29,1.62155697888091,0.483386785759883,0.383308750155585,0.894248726140725,8.94248726140725e-06,3.42773361545225e-06,0.342773361545225
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,29.5,1.76754124994012,0.569589456530475,0.434242340859723,0.894248726140725,8.94248726140725e-06,3.88320660150174e-06,0.388320660150174
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,30,1.94204929709683,0.663743754251804,0.485080012389542,0.894248726140725,8.94248726140725e-06,4.33782183155675e-06,0.433782183155675
"Rome","IT001C","45-64",19.28,30.31,0.193238604152114,30.31,2.06702985843177,0.726112725893687,0.516214051809252,0.894248726140725,8.94248726140725e-06,4.61623758246366e-06,0.461623758246366
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,-3.87,1.59799836972473,0.468751827146269,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,-3.5,1.58382006657197,0.459839692604034,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,-3,1.56473190023491,0.44771449956287,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,-2.5,1.54572850012196,0.435495320333099,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,-2,1.52681238701801,0.42318215491472,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,-1.5,1.50798602651747,0.410775003307733,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,-1,1.4892518287785,0.398273865512139,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,-0.5,1.47061214830611,0.385678741527936,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,0,1.45206928376398,0.372989631355126,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,0.5,1.43362547781462,0.360206534993709,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,1,1.41528291698773,0.347329452443683,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,1.5,1.3970437315765,0.33435838370505,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,2,1.37890999556133,0.321293328777809,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,2.5,1.36088372656101,0.30813428766196,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,3,1.34296688581068,0.294881260357503,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,3.5,1.3251613781665,0.281534246864439,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,4,1.30746905213653,0.268093247182767,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,4.5,1.28989169993753,0.254558261312487,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,5,1.27243105757725,0.2409292892536,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,5.5,1.25508880496187,0.227206331006104,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,6,1.2378665660282,0.213389386570001,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,6.5,1.22076590890015,0.19947845594529,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,7,1.20378834606914,0.185473539131972,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,7.5,1.18726526019954,0.171652561764822,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,8,1.17159438287092,0.158365541551379,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,8.5,1.15674914634529,0.145613610827863,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,9,1.14270329832117,0.133396769594275,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,9.5,1.12943218790015,0.121715017850614,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,10,1.11691269367664,0.110568355596881,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,10.5,1.10512315675166,0.0999567828330755,0,3.6139107054271,3.6139107054271e-05,0,0
"Rome","IT001C","65-74",20.32,30.31,0.221974782729558,11,1.09404331839959,0.0898802995591974,0,3.6139107054271,3.6139107054271e-05,0,0
