year,scenario,ramp_factor,ac_penalty,deaths_on_warning_days,gross_avoided_deaths,net_avoided_deaths,life_years_saved,warning_days,cost_total,cost_pv,gross_<15,gross_15-64,gross_65+,net_<15,net_15-64,net_65+,lys_<15,lys_15-64,lys_65+
2035,low,1.0,0.9738433063030243,11.612986574459816,0.9047383393379663,0.8174961054838111,10.608158485477176,23.0,349644.77709,224423.67752007855,0.0,0.06463200159282934,0.840106337745137,0.0,0.06140040151318787,0.7560957039706233,0.0,1.5350100378296967,9.07314844764748
2036,low,1.0,0.9738433063030243,12.191973011783237,0.9498457046521783,0.8581361357033713,11.106559002993924,23.8,361941.5817668,225550.02768610336,0.0,0.06550003032821604,0.8843456743239623,0.0,0.062225028811805236,0.7959111068915661,0.0,1.555625720295131,9.550933282698793
2037,low,1.0,0.9738433063030243,12.770959449106657,0.9949530699663901,0.8987761659229313,11.604959520510668,24.6,374247.47869320004,226425.87942532648,0.0,0.0663680590636027,0.9285850109027874,0.0,0.06304965611042256,0.8357265098125087,0.0,1.5762414027605638,10.028718117750104
2038,low,1.0,0.9738433063030243,13.349945886430078,1.040060435280602,0.9394161961424913,12.103360038027414,25.4,386562.46786920005,227064.70913321048,0.0,0.0672360877989894,0.9728243474816126,0.0,0.06387428340903993,0.8755419127334514,0.0,1.5968570852259982,10.506502952801416
2039,low,1.0,0.9738433063030243,13.9289323237535,1.085167800594814,0.9800562263620515,12.60176055554416,26.2,398886.54929480003,227479.4253460504,0.0,0.06810411653437609,1.017063684060438,0.0,0.06469891070765728,0.9153573156543942,0.0,1.617472767691432,10.984287787852729
2040,low,1.0,0.9738433063030243,14.50791876107692,1.1302751659090258,1.0206962565816116,13.100161073060908,27.0,411219.72297000006,227682.3902517103,0.0,0.06897214526976278,1.061303020639263,0.0,0.06552353800627464,0.9551727185753368,0.0,1.638088450156866,11.462072622904042
2041,low,1.0,0.9736163148283958,14.763121223766834,1.1498892544998993,1.0383277647945608,13.306509806463598,27.4,417903.5725074,224643.76280116334,0.0,0.06854871489302596,1.0813405396068734,0.0,0.06512127914837465,0.9732064856461861,0.0,1.6280319787093662,11.678477827754232
2042,low,1.0,0.9733893233537674,15.018323686456746,1.169494074485439,1.055950940759863,13.512760898691406,27.8,424604.6981176,221598.0077870893,0.0,0.06812547445935632,1.1013686000260827,0.0,0.0647192007363885,0.9912317400234745,0.0,1.6179800184097124,11.894780880281694
2043,low,1.0,0.9731623318791389,15.27352614914666,1.1890896258656454,1.0735657844775186,13.718914349744335,28.2,431323.0998006001,218547.85557608155,0.0,0.06770242396875387,1.1213872018968916,0.0,0.06431730277031616,1.0092484817072025,0.0,1.607932569257904,12.11098178048643
2044,low,1.0,0.9729353404045105,15.528728611836573,1.208675908640518,1.0911722959475272,13.924970159622376,28.6,438058.7775564001,215495.89117963772,0.0,0.06727956342121863,1.1413963452192994,0.0,0.0639155852501577,1.0272567106973696,0.0,1.5978896312539423,12.327080528368434
2020,central,0.08,0.9494329929351807,4.912684763700606,0.055971179982567926,0.04294151872909688,0.5904226566384954,15.0,117446.91440800001,117446.91440800001,0.0,0.006420891614472891,0.04955028836809504,0.0,0.005778802453025602,0.037162716276071275,0.0,0.14447006132564005,0.4459525953128553
2021,central,0.08,0.9492583549022675,5.293221726114817,0.060295619374376296,0.046220607445222515,0.6325609366690134,15.4,17990.328246352,17466.33810325437,0.0,0.006659286096268647,0.05363633327810765,0.0,0.005993357486641783,0.040227249958580735,0.0,0.14983393716604457,0.4827269995029688
