year,scenario,ramp_factor,ac_penalty,deaths_on_warning_days,gross_avoided_deaths,net_avoided_deaths,life_years_saved,warning_days,cost_total,cost_pv,gross_<15,gross_15-64,gross_65+,net_<15,net_15-64,net_65+,lys_<15,lys_15-64,lys_65+
2038,low,1.0,0.9553798288106918,153.86304935771233,6.854397470733053,6.185473897561416,78.30518172444914,49.0,1191200.612126,699704.816152027,0.0,0.33032347803337225,6.524073992699681,0.0,0.3138073041317036,5.871666593429713,0.0,7.84518260329259,70.45999912115656
2039,low,1.0,0.9553136959671974,158.0235111074017,7.057261199402261,6.367896413558169,80.45600648444304,50.0,1212762.5828500001,691621.554839694,0.0,0.3272266819226722,6.730034517479589,0.0,0.3108653478265386,6.05703106573163,0.0,7.771633695663464,72.68437278877957
2040,low,1.0,0.955247563123703,162.18397285709105,7.260096775364257,6.550293613398118,82.60653270663816,51.0,1234214.6237400002,683354.7126270477,0.0,0.32413031140572895,6.935966463958528,0.0,0.3079237958354425,6.242369817562675,0.0,7.698094895886062,74.9084378107521
2041,low,1.0,0.9547178596258163,164.65375741127713,7.387047527469308,6.664104328565139,83.86235574194369,51.7,1248543.0055483002,671153.3885738136,0.0,0.315231076855225,7.071816450614083,0.0,0.2994695230124637,6.364634805552675,0.0,7.486738075311592,76.3756176666321
2042,low,1.0,0.9541881561279297,167.12354196546318,7.513852940777065,6.777784722596113,85.11673441765171,52.4,1262800.6611192,659046.195147681,0.0,0.30634151793509024,7.207511422841975,0.0,0.2910244420383357,6.486760280557777,0.0,7.275611050958393,77.84112336669332
2043,low,1.0,0.953658452630043,169.59332651964925,7.640513015287531,6.891334795491044,86.36966873376228,53.1,1276987.5904527,647039.0749295008,0.0,0.29746163464532477,7.343051380642206,0.0,0.2825885529130585,6.608746242577985,0.0,7.064713822826462,79.30495491093582
2044,low,1.0,0.9531287491321564,172.06311107383533,7.767027751000706,7.004754547249932,87.6211586902754,53.8,1291103.7935488,635137.5131625752,0.0,0.28859142698592855,7.478436324014777,0.0,0.2741618556366321,6.7305926916133,0.0,6.854046390915802,80.7671122993596
2020,central,0.15,0.9185620605945587,77.79289348151475,0.9653749534769045,0.7400045732921274,10.125976817892552,28.0,104303.741808,104303.741808,0.0,0.10648905456299343,0.8588858989139111,0.0,0.09584014910669408,0.6441644241854333,0.0,2.396003727667352,7.729973090225199
2021,central,0.15,0.9178876328468323,82.07153966938303,1.021429917262893,0.7823559657179917,10.65838675474002,29.3,109109.370813765,105931.42797452911,0.0,0.10855685180548015,0.9128730654574128,0.0,0.09770116662493214,0.6846547990930596,0.0,2.4425291656233035,8.215857589116716
2022,central,1.0,0.9172132050991059,86.3501858572513,7.182676436576922,5.497628822911648,74.60002252229833,30.6,759411.4171644001,715818.0951686306,0.0,0.7374766365263724,6.44519980005055,0.0,0.6637289728737352,4.833899850037913,0.0,16.59322432184338,58.00679820045495
2023,central,1.0,0.9165387773513793,90.62883204511957,7.55526398765227,5.779130976322623,78.13884459137829,31.9,791405.1139379,724247.7891897062,0.0,0.75121990388947,6.8040440837628005,0.0,0.6760979135005231,5.1030330628221,0.0,16.902447837513076,61.23639675386521
2024,central,1.0,0.9158643496036529,94.90747823298784,7.927295434978666,6.060212898352874,81.67237790550668,33.2,823376.8957456002,731559.7074229922,0.0,0.7649421474591606,7.1623532875195055,0.0,0.6884479327132446,5.371764965639629,0.0,17.211198317831116,64.46117958767556
2025,central,1.0,0.9151899218559265,99.18612442085612,8.298770778556108,6.3408745890023965,85.20062246468346,34.5,855326.7625875,737812.3789268458,0.0,0.7786433672354443,7.520127411320663,0.0,0.7007790305118998,5.640095558490497,0.0,17.519475762797494,67.68114670188596
2026,central,1.0,0.9145154941082001,103.4647706087244,8.669690018384596,6.621116048271195,88.7235782689087,35.8,887254.7144636,743061.8550316159,0.0,0.7923235632183209,7.877366455166275,0.0,0.7130912068964887,5.908024841374706,0.0,17.82728017241222,70.89629809649648
2027,central,1.0,0.9138410663604737,107.74341679659267,9.040053154464129,6.900937276159267,92.24124531818237,37.1,919160.7513739001,747361.804502097,0.0,0.8059827354077909,8.234070419056339,0.0,0.7253844618670118,6.175552814292255,0.0,18.134611546675295,74.10663377150706
2028,central,1.0,0.9131666386127472,112.02206298446094,9.409860186794711,7.180338272666611,95.75362361250441,38.4,951044.8733184,750763.6052444719,0.0,0.8196208838038536,8.590239302990858,0.0,0.7376587954234682,6.442679477243143,0.0,18.441469885586706,77.31215372691771
2029,central,1.0,0.9124922108650207,116.3007091723292,9.779111115376338,7.459319037793231,99.26071315187494,39.7,982907.0802971001,753316.4326787181,0.0,0.8332380084065093,8.94587310696983,0.0,0.7499142075658584,6.709404830227372,0.0,18.74785518914646,80.51285796272848
2030,central,1.0,0.9118177831172943,120.57935536019748,10.147805940209013,7.737879571539124,102.76251393629386,41.0,1014747.37231,755067.3448933124,0.0,0.8468341092157582,9.300971830993255,0.0,0.7621506982941824,6.975728873244941,0.0,19.05376745735456,83.7087464789393
2031,central,1.0,0.9116855174303055,124.73981710988684,10.532971069267349,8.025634912150242,106.1283345413819,42.0,1037188.7817060001,749287.2437539634,0.0,0.8393774013315374,9.693593667935811,0.0,0.7554396611983837,7.270195250951859,0.0,18.885991529959593,87.2423430114223
2032,central,1.0,0.9115532517433167,128.9002788595762,10.918024013090598,8.313306433030364,109.49317420693275,43.0,1059520.2612680001,743126.1939101772,0.0,0.8319228214161012,10.086101191674496,0.0,0.7487305392744911,7.5645758937558725,0.0,18.718263481862277,90.77491072507047
2033,central,1.0,0.9114209860563278,133.06074060926557,11.302964771678758,8.600894134179487,112.8570329329464,44.0,1081741.8109960002,736613.5357243728,0.0,0.8244703694694494,10.478494402209309,0.0,0.7420233325225045,7.858870801656982,0.0,18.550583313062614,94.30644961988378
2034,central,1.0,0.911288720369339,137.2212023589549,11.687793345031832,8.888398015597613,116.21991071942287,45.0,1103853.43089,729777.1581753512,0.0,0.8170200454915822,10.87077329954025,0.0,0.735318040942424,8.153079974655189,0.0,18.3829510235606,97.83695969586226
2035,central,1.0,0.9111564546823502,141.38166410864426,12.07250973314982,9.17581807728474,119.58180756636213,46.0,1125855.1209500001,722643.5604195339,0.0,0.8095718494824998,11.26293788366732,0.0,0.7286146645342498,8.44720341275049,0.0,18.215366613356245,101.36644095300588
